"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,810,094","713,033","7,064,799","2,960,503","39,062,465","5,604,105","3,523,842","952,211","692,817","20,996,007","10,334,958","1,368,549","1,733,484","12,563,908","6,592,504","3,113,029","2,854,774","4,388,204","4,556,078","1,323,289","5,943,064","6,830,796","9,888,529","5,553,564","2,919,673","6,014,742","1,047,075","1,900,165","2,998,585","1,339,549","8,803,988","2,060,718","19,302,636","10,183,721","743,793","11,517,226","3,861,581","4,151,076","12,604,311","1,041,309","4,990,240","864,598","6,667,784","28,243,191","3,135,573","620,066","8,301,038","7,427,599","1,776,965","5,740,669","567,008","3,171,580"
"    Allocated","592,819","84,423","1,105,718","358,110","5,467,829","902,975","459,515","273,666","92,124","3,309,364","1,260,979","218,980","223,589","1,606,349","889,504","369,410","351,847","540,822","518,295","159,473","834,235","999,977","1,255,021","704,488","307,781","718,958","137,959","305,655","391,571","170,345","1,184,727","243,315","2,927,222","1,407,281","94,915","1,331,175","570,324","535,955","1,894,617","161,986","696,554","109,276","873,885","3,389,111","355,686","72,008","1,124,696","991,292","195,284","676,424","66,832","173,811"
"    Not allocated","4,217,275","628,610","5,959,081","2,602,393","33,594,636","4,701,130","3,064,327","678,545","600,693","17,686,643","9,073,979","1,149,569","1,509,895","10,957,559","5,703,000","2,743,619","2,502,927","3,847,382","4,037,783","1,163,816","5,108,829","5,830,819","8,633,508","4,849,076","2,611,892","5,295,784","909,116","1,594,510","2,607,014","1,169,204","7,619,261","1,817,403","16,375,414","8,776,440","648,878","10,186,051","3,291,257","3,615,121","10,709,694","879,323","4,293,686","755,322","5,793,899","24,854,080","2,779,887","548,058","7,176,342","6,436,307","1,581,681","5,064,245","500,176","2,997,769"
