"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,761,291","712,964","6,620,233","2,915,402","38,151,997","5,267,878","3,535,139","920,268","648,263","19,621,207","9,907,239","1,362,574","1,614,714","12,671,738","6,490,256","3,062,954","2,839,352","4,327,357","4,542,312","1,315,603","5,864,892","6,665,525","9,798,384","5,392,571","2,923,887","5,946,094","1,007,946","1,852,809","2,804,116","1,310,949","8,807,899","2,048,093","19,453,583","9,745,671","720,312","11,413,979","3,794,815","3,943,363","12,579,598","1,038,432","4,736,274","833,674","6,445,597","26,478,868","2,922,538","620,216","8,096,958","6,967,768","1,817,156","5,681,891","573,538","3,502,814"
"    Allocated","559,554","70,725","896,490","285,839","4,118,490","626,631","378,332","112,027","85,617","2,534,926","1,027,792","164,437","173,430","1,281,501","679,048","333,363","291,738","470,322","434,323","125,601","721,076","800,880","1,070,153","576,613","272,188","639,972","111,421","196,015","287,532","131,506","941,560","202,320","2,281,724","1,046,667","81,045","1,137,938","438,937","437,694","1,447,246","113,260","555,280","80,974","682,604","2,519,432","272,157","60,468","971,453","772,611","163,903","570,544","62,133","182,949"
"    Not allocated","4,201,737","642,239","5,723,743","2,629,563","34,033,507","4,641,247","3,156,807","808,241","562,646","17,086,281","8,879,447","1,198,137","1,441,284","11,390,237","5,811,208","2,729,591","2,547,614","3,857,035","4,107,989","1,190,002","5,143,816","5,864,645","8,728,231","4,815,958","2,651,699","5,306,122","896,525","1,656,794","2,516,584","1,179,443","7,866,339","1,845,773","17,171,859","8,699,004","639,267","10,276,041","3,355,878","3,505,669","11,132,352","925,172","4,180,994","752,700","5,762,993","23,959,436","2,650,381","559,748","7,125,505","6,195,157","1,653,253","5,111,347","511,405","3,319,865"
