"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,797,215","712,356","6,941,028","2,945,234","38,787,337","5,516,337","3,524,580","942,219","682,728","20,588,432","10,213,659","1,369,339","1,696,068","12,591,483","6,566,575","3,096,125","2,851,091","4,366,510","4,558,894","1,319,854","5,920,779","6,777,468","9,855,966","5,505,454","2,916,886","5,990,637","1,035,643","1,884,850","2,936,475","1,331,286","8,773,993","2,057,086","19,333,899","10,060,249","740,206","11,482,519","3,851,223","4,089,521","12,587,348","1,041,575","4,923,262","853,256","6,602,261","27,792,957","3,070,877","618,266","8,234,323","7,293,096","1,788,475","5,718,951","571,021","3,293,526"
"    Allocated","626,373","87,643","1,094,397","349,342","5,214,743","811,975","444,075","190,955","94,973","3,083,151","1,229,913","201,637","210,814","1,529,237","828,109","370,948","343,412","535,568","518,252","145,879","815,737","960,881","1,215,639","684,332","307,994","710,519","138,878","261,855","368,118","159,728","1,102,475","229,665","2,758,924","1,309,940","96,918","1,300,411","553,386","517,859","1,750,613","139,400","659,024","99,817","809,349","3,172,586","338,973","69,449","1,149,256","927,879","184,109","653,902","66,620","183,524"
"    Not allocated","4,170,842","624,713","5,846,631","2,595,892","33,572,594","4,704,362","3,080,505","751,264","587,755","17,505,281","8,983,746","1,167,702","1,485,254","11,062,246","5,738,466","2,725,177","2,507,679","3,830,942","4,040,642","1,173,975","5,105,042","5,816,587","8,640,327","4,821,122","2,608,892","5,280,118","896,765","1,622,995","2,568,357","1,171,558","7,671,518","1,827,421","16,574,975","8,750,309","643,288","10,182,108","3,297,837","3,571,662","10,836,735","902,175","4,264,238","753,439","5,792,912","24,620,371","2,731,904","548,817","7,085,067","6,365,217","1,604,366","5,065,049","504,401","3,110,002"
