"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,920,010","709,438","6,976,512","2,955,770","38,946,377","5,629,512","3,556,794","966,239","673,717","21,027,201","10,438,528","1,395,191","1,789,734","12,646,857","6,655,804","3,138,332","2,875,459","4,416,344","4,555,079","1,342,021","6,049,675","6,922,305","9,959,489","5,614,768","2,902,113","6,035,976","1,063,595","1,923,866","3,022,441","1,356,149","9,129,337","2,073,219","19,878,007","10,168,317","756,614","11,601,893","3,869,212","4,167,351","12,771,301","1,075,869","4,984,554","865,054","6,756,567","28,410,863","3,205,178","635,583","8,357,984","7,502,835","1,773,559","5,802,929","567,043","3,285,816"
"    Allocated","710,419","97,153","1,207,628","407,867","6,221,480","941,424","520,590","214,433","96,389","3,545,897","1,509,060","243,632","257,024","1,850,565","977,195","392,569","399,893","599,166","619,912","175,142","938,489","1,143,528","1,434,997","799,403","359,644","812,953","164,676","301,941","453,326","184,164","1,409,668","264,571","3,397,362","1,536,005","120,479","1,477,620","631,486","595,071","2,031,283","172,000","774,234","118,692","928,733","3,966,363","407,760","82,110","1,318,307","1,079,685","213,825","763,917","71,096","180,312"
"    Not allocated","4,209,591","612,285","5,768,884","2,547,903","32,724,897","4,688,088","3,036,204","751,806","577,328","17,481,304","8,929,468","1,151,559","1,532,710","10,796,292","5,678,609","2,745,763","2,475,566","3,817,178","3,935,167","1,166,879","5,111,186","5,778,777","8,524,492","4,815,365","2,542,469","5,223,023","898,919","1,621,925","2,569,115","1,171,985","7,719,669","1,808,648","16,480,645","8,632,312","636,135","10,124,273","3,237,726","3,572,280","10,740,018","903,869","4,210,320","746,362","5,827,834","24,444,500","2,797,418","553,473","7,039,677","6,423,150","1,559,734","5,039,012","495,947","3,105,504"
