"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,782,529","718,419","6,824,645","2,934,272","38,763,815","5,447,760","3,525,154","937,935","670,985","20,294,479","10,120,788","1,378,730","1,662,867","12,620,388","6,534,914","3,091,437","2,850,862","4,354,380","4,577,182","1,317,148","5,918,535","6,736,017","9,818,099","5,462,438","2,924,168","5,977,199","1,027,510","1,877,654","2,905,767","1,316,467","8,837,578","2,046,001","19,505,596","9,957,830","741,486","11,439,848","3,845,697","4,054,353","12,579,422","1,040,259","4,861,188","848,774","6,546,914","27,386,023","3,024,767","618,622","8,199,576","7,184,110","1,802,572","5,706,681","576,027","3,384,148"
"    Allocated","645,688","96,465","1,049,325","327,783","4,951,063","714,392","425,143","113,238","94,105","2,886,443","1,166,648","184,305","193,184","1,403,243","775,141","366,368","341,621","502,174","511,955","137,117","800,667","902,412","1,178,409","657,780","298,136","694,543","132,260","232,351","341,484","154,839","1,050,694","223,575","2,605,043","1,261,512","90,254","1,267,020","510,427","508,539","1,582,598","128,514","629,024","87,979","769,676","2,887,839","307,523","66,662","1,135,886","889,451","174,434","649,980","68,168","195,827"
"    Not allocated","4,136,841","621,954","5,775,320","2,606,489","33,812,752","4,733,368","3,100,011","824,697","576,880","17,408,036","8,954,140","1,194,425","1,469,683","11,217,145","5,759,773","2,725,069","2,509,241","3,852,206","4,065,227","1,180,031","5,117,868","5,833,605","8,639,690","4,804,658","2,626,032","5,282,656","895,250","1,645,303","2,564,283","1,161,628","7,786,884","1,822,426","16,900,553","8,696,318","651,232","10,172,828","3,335,270","3,545,814","10,996,824","911,745","4,232,164","760,795","5,777,238","24,498,184","2,717,244","551,960","7,063,690","6,294,659","1,628,138","5,056,701","507,859","3,188,321"
