"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,793,512","716,178","6,908,121","2,949,305","39,046,835","5,514,070","3,536,522","947,259","683,808","20,678,704","10,241,594","1,373,202","1,695,273","12,620,126","6,568,434","3,102,179","2,855,454","4,370,940","4,580,258","1,321,649","5,957,871","6,785,622","9,853,156","5,519,199","2,920,808","6,000,326","1,036,245","1,891,453","2,962,236","1,325,016","8,902,432","2,054,301","19,608,066","10,070,781","738,177","11,485,078","3,851,302","4,102,901","12,602,472","1,044,111","4,928,260","851,826","6,612,552","27,836,924","3,076,318","617,556","8,256,810","7,299,812","1,787,126","5,723,963","568,891","3,309,977"
"    Allocated","622,333","84,423","1,107,076","352,428","5,145,846","809,980","448,740","115,770","93,990","3,062,653","1,194,651","194,346","210,787","1,483,277","812,790","364,162","332,755","527,528","488,536","144,495","777,400","949,376","1,166,988","665,785","305,647","688,424","146,550","246,612","336,271","154,750","1,088,960","227,957","2,790,258","1,289,798","82,757","1,310,539","541,328","514,303","1,734,591","142,769","630,087","97,999","784,673","3,140,628","320,639","66,152","1,110,964","878,623","161,168","635,945","62,819","191,846"
"    Not allocated","4,171,179","631,755","5,801,045","2,596,877","33,900,989","4,704,090","3,087,782","831,489","589,818","17,616,051","9,046,943","1,178,856","1,484,486","11,136,849","5,755,644","2,738,017","2,522,699","3,843,412","4,091,722","1,177,154","5,180,471","5,836,246","8,686,168","4,853,414","2,615,161","5,311,902","889,695","1,644,841","2,625,965","1,170,266","7,813,472","1,826,344","16,817,808","8,780,983","655,420","10,174,539","3,309,974","3,588,598","10,867,881","901,342","4,298,173","753,827","5,827,879","24,696,296","2,755,679","551,404","7,145,846","6,421,189","1,625,958","5,088,018","506,072","3,118,131"
