"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,969,866","704,133","7,154,961","2,977,706","38,761,738","5,713,803","3,555,703","992,298","663,014","21,591,588","10,627,519","1,386,108","1,866,785","12,522,498","6,714,911","3,149,616","2,875,799","4,429,333","4,523,071","1,359,807","6,079,418","6,926,890","9,944,298","5,652,888","2,884,445","6,062,789","1,088,176","1,937,542","3,103,042","1,371,503","9,174,408","2,077,871","19,674,246","10,366,704","761,569","11,612,784","3,906,785","4,196,946","12,800,535","1,078,696","5,113,158","879,723","6,888,125","29,157,945","3,304,468","639,109","8,429,141","7,623,297","1,750,730","5,828,067","569,723","3,227,627"
"    Allocated","806,267","116,783","1,359,815","468,319","6,913,736","1,009,550","596,223","183,637","100,806","3,981,678","1,822,152","276,573","301,618","2,085,837","1,095,268","434,148","456,286","670,704","701,350","198,394","1,054,667","1,270,609","1,615,753","891,670","427,349","923,802","181,951","319,899","531,865","211,649","1,631,015","305,747","3,783,218","1,724,162","141,452","1,676,734","708,703","656,337","2,216,420","189,320","905,313","135,332","1,052,434","4,750,125","475,717","93,841","1,513,862","1,221,732","254,325","851,795","79,579","172,517"
"    Not allocated","4,163,599","587,350","5,795,146","2,509,387","31,848,002","4,704,253","2,959,480","808,661","562,208","17,609,910","8,805,367","1,109,535","1,565,167","10,436,661","5,619,643","2,715,468","2,419,513","3,758,629","3,821,721","1,161,413","5,024,751","5,656,281","8,328,545","4,761,218","2,457,096","5,138,987","906,225","1,617,643","2,571,177","1,159,854","7,543,393","1,772,124","15,891,028","8,642,542","620,117","9,936,050","3,198,082","3,540,609","10,584,115","889,376","4,207,845","744,391","5,835,691","24,407,820","2,828,751","545,268","6,915,279","6,401,565","1,496,405","4,976,272","490,144","3,055,110"
