"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,957,633","702,154","7,174,053","2,974,701","38,724,294","5,715,497","3,557,526","987,964","659,979","21,465,883","10,600,385","1,381,713","1,879,248","12,495,329","6,707,875","3,151,182","2,878,792","4,428,392","4,518,319","1,357,120","6,059,298","6,916,106","9,949,959","5,651,958","2,885,936","6,063,301","1,088,496","1,936,190","3,105,760","1,372,918","9,163,640","2,077,326","19,599,048","10,345,935","756,440","11,611,229","3,905,272","4,206,414","12,767,386","1,080,438","5,099,812","877,855","6,872,677","29,066,872","3,309,594","639,228","8,412,758","7,618,375","1,755,887","5,828,354","570,046","3,237,924"
"    Allocated","852,567","119,921","1,470,541","482,076","7,111,981","1,068,002","639,478","184,529","105,083","4,138,224","1,883,557","280,919","305,907","2,177,194","1,172,821","433,767","482,916","693,105","731,389","208,604","1,095,408","1,368,445","1,738,349","957,722","447,814","995,448","200,343","317,239","541,566","222,728","1,729,356","314,132","4,057,478","1,790,239","146,562","1,747,520","756,473","702,875","2,311,621","198,535","957,226","133,652","1,107,580","5,006,379","501,674","96,039","1,595,257","1,252,595","264,655","908,038","76,042","167,029"
"    Not allocated","4,105,066","582,233","5,703,512","2,492,625","31,612,313","4,647,495","2,918,048","803,435","554,896","17,327,659","8,716,828","1,100,794","1,573,341","10,318,135","5,535,054","2,717,415","2,395,876","3,735,287","3,786,930","1,148,516","4,963,890","5,547,661","8,211,610","4,694,236","2,438,122","5,067,853","888,153","1,618,951","2,564,194","1,150,190","7,434,284","1,763,194","15,541,570","8,555,696","609,878","9,863,709","3,148,799","3,503,539","10,455,765","881,903","4,142,586","744,203","5,765,097","24,060,493","2,807,920","543,189","6,817,501","6,365,780","1,491,232","4,920,316","494,004","3,070,895"
