"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,944,981","706,392","7,060,320","2,964,272","38,874,540","5,675,719","3,567,016","979,853","661,596","21,300,363","10,531,900","1,390,760","1,827,859","12,588,498","6,687,996","3,142,658","2,874,745","4,422,514","4,543,264","1,349,575","6,070,969","6,918,700","9,949,793","5,634,724","2,891,879","6,047,407","1,075,209","1,930,107","3,067,029","1,363,236","9,153,756","2,076,263","19,789,790","10,256,318","759,609","11,607,026","3,882,774","4,187,842","12,801,884","1,077,551","5,043,992","871,052","6,822,829","28,764,407","3,257,798","637,608","8,398,580","7,571,532","1,759,522","5,815,677","567,826","3,244,866"
"    Allocated","757,418","105,707","1,277,728","441,220","6,609,121","987,064","555,639","205,307","94,487","3,776,110","1,665,720","261,279","277,393","1,981,576","1,040,712","411,899","431,925","639,329","662,788","187,601","1,001,953","1,202,864","1,537,250","850,567","391,752","872,185","170,412","315,265","498,239","199,432","1,530,705","285,456","3,611,504","1,637,657","130,579","1,578,043","669,286","631,151","2,147,564","180,166","840,482","127,723","996,327","4,361,090","448,036","88,169","1,411,761","1,159,264","237,813","813,065","74,929","176,993"
"    Not allocated","4,187,563","600,685","5,782,592","2,523,052","32,265,419","4,688,655","3,011,377","774,546","567,109","17,524,253","8,866,180","1,129,481","1,550,466","10,606,922","5,647,284","2,730,759","2,442,820","3,783,185","3,880,476","1,161,974","5,069,016","5,715,836","8,412,543","4,784,157","2,500,127","5,175,222","904,797","1,614,842","2,568,790","1,163,804","7,623,051","1,790,807","16,178,286","8,618,661","629,030","10,028,983","3,213,488","3,556,691","10,654,320","897,385","4,203,510","743,329","5,826,502","24,403,317","2,809,762","549,439","6,986,819","6,412,268","1,521,709","5,002,612","492,897","3,067,873"
