"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,693,822","686,905","6,304,406","2,862,023","36,783,532","4,949,633","3,514,027","884,582","594,942","18,571,056","9,511,663","1,311,430","1,547,099","12,641,685","6,384,930","3,001,335","2,791,851","4,251,528","4,425,335","1,314,102","5,686,615","6,479,196","9,782,012","5,253,764","2,898,487","5,867,503","975,207","1,797,941","2,668,199","1,302,651","8,682,727","2,021,099","19,138,275","9,341,367","660,952","11,356,139","3,663,645","3,796,881","12,492,799","1,035,336","4,527,713","797,646","6,251,368","24,723,454","2,737,627","619,339","7,788,504","6,628,521","1,820,798","5,609,422","553,168","3,690,113"
"    Imputed","430,733","41,352","606,342","218,329","2,723,738","403,478","292,571","73,531","61,356","1,914,329","767,709","123,393","122,166","974,303","527,879","252,275","210,508","329,125","328,969","96,342","490,810","579,615","866,236","421,221","213,332","487,435","82,688","136,425","189,775","98,802","699,777","164,623","1,626,484","739,692","49,522","915,006","301,960","319,073","1,137,339","86,107","418,324","61,997","501,321","1,676,173","189,316","44,759","668,835","521,220","135,949","438,323","40,400","142,753"
"    Not imputed","4,263,089","645,553","5,698,064","2,643,694","34,059,794","4,546,155","3,221,456","811,051","533,586","16,656,727","8,743,954","1,188,037","1,424,933","11,667,382","5,857,051","2,749,060","2,581,343","3,922,403","4,096,366","1,217,760","5,195,805","5,899,581","8,915,776","4,832,543","2,685,155","5,380,068","892,519","1,661,516","2,478,424","1,203,849","7,982,950","1,856,476","17,511,791","8,601,675","611,430","10,441,133","3,361,685","3,477,808","11,355,460","949,229","4,109,389","735,649","5,750,047","23,047,281","2,548,311","574,580","7,119,669","6,107,301","1,684,849","5,171,099","512,768","3,547,360"
