"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,813,429","711,104","7,065,326","2,957,271","38,838,726","5,588,760","3,520,172","951,930","692,059","20,897,188","10,321,846","1,365,172","1,732,106","12,536,614","6,597,701","3,106,492","2,853,649","4,379,339","4,556,953","1,325,025","5,938,200","6,800,682","9,866,076","5,541,421","2,912,057","6,011,968","1,046,670","1,894,327","2,993,632","1,338,372","8,780,160","2,060,539","19,276,809","10,178,084","743,105","11,501,751","3,867,023","4,135,531","12,590,644","1,041,644","4,990,992","861,933","6,664,134","28,169,961","3,124,563","618,184","8,282,997","7,397,932","1,778,080","5,735,703","571,005","3,230,810"
"    Allocated","660,715","94,821","1,168,728","383,895","5,832,087","886,961","478,168","194,251","103,724","3,354,208","1,387,631","219,749","232,351","1,694,046","905,964","377,786","370,934","560,955","580,731","159,011","877,303","1,051,282","1,326,109","743,027","332,976","759,905","151,098","280,388","419,498","170,484","1,241,497","247,806","3,014,669","1,454,541","108,144","1,384,123","583,598","557,755","1,873,000","152,954","729,525","110,532","857,573","3,636,903","367,916","75,075","1,246,286","1,009,875","198,136","701,520","68,854","177,903"
"    Not allocated","4,152,714","616,283","5,896,598","2,573,376","33,006,639","4,701,799","3,042,004","757,679","588,335","17,542,980","8,934,215","1,145,423","1,499,755","10,842,568","5,691,737","2,728,706","2,482,715","3,818,384","3,976,222","1,166,014","5,060,897","5,749,400","8,539,967","4,798,394","2,579,081","5,252,063","895,572","1,613,939","2,574,134","1,167,888","7,538,663","1,812,733","16,262,140","8,723,543","634,961","10,117,628","3,283,425","3,577,776","10,717,644","888,690","4,261,467","751,401","5,806,561","24,533,058","2,756,647","543,109","7,036,711","6,388,057","1,579,944","5,034,183","502,151","3,052,907"
