"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","5,022,427","702,315","7,321,507","3,013,015","38,495,524","5,776,484","3,573,821","1,017,865","669,458","22,276,397","10,832,829","1,378,162","1,938,023","12,378,557","6,764,280","3,162,048","2,876,621","4,442,248","4,477,873","1,378,322","6,087,312","6,934,075","9,931,639","5,678,023","2,874,290","6,094,536","1,115,486","1,951,731","3,154,027","1,386,016","9,204,137","2,076,456","19,372,405","10,623,208","763,538","11,616,141","3,967,096","4,193,025","12,779,387","1,079,737","5,276,214","900,264","7,033,220","30,020,476","3,391,381","642,064","8,489,257","7,693,927","1,736,140","5,851,267","573,746","3,180,620"
"    Allocated","877,036","137,526","1,497,503","512,041","7,193,478","1,036,870","682,002","172,889","109,754","4,331,474","2,077,988","297,859","356,097","2,225,537","1,179,088","470,674","479,934","722,518","746,361","221,222","1,148,385","1,367,599","1,694,426","940,141","499,237","1,006,151","200,544","339,712","579,277","238,346","1,784,626","343,857","4,012,012","1,859,349","144,558","1,849,291","765,463","696,719","2,295,195","216,047","995,769","146,808","1,214,545","5,394,226","508,965","100,728","1,655,359","1,337,148","288,192","896,955","92,911","161,958"
"    Not allocated","4,145,391","564,789","5,824,004","2,500,974","31,302,046","4,739,614","2,891,819","844,976","559,704","17,944,923","8,754,841","1,080,303","1,581,926","10,153,020","5,585,192","2,691,374","2,396,687","3,719,730","3,731,512","1,157,100","4,938,927","5,566,476","8,237,213","4,737,882","2,375,053","5,088,385","914,942","1,612,019","2,574,750","1,147,670","7,419,511","1,732,599","15,360,393","8,763,859","618,980","9,766,850","3,201,633","3,496,306","10,484,192","863,690","4,280,445","753,456","5,818,675","24,626,250","2,882,416","541,336","6,833,898","6,356,779","1,447,948","4,954,312","480,835","3,018,662"
