"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,755,381","712,248","6,521,226","2,907,014","37,831,553","5,173,272","3,541,409","911,502","635,833","19,245,127","9,800,887","1,345,168","1,592,172","12,704,616","6,471,551","3,045,284","2,836,733","4,312,100","4,522,910","1,314,191","5,834,039","6,613,654","9,784,451","5,362,681","2,925,211","5,930,677","999,390","1,840,659","2,757,207","1,308,658","8,791,652","2,051,900","19,400,069","9,645,320","708,181","11,398,298","3,770,254","3,893,092","12,569,375","1,036,046","4,678,122","827,039","6,394,644","25,976,562","2,874,213","620,896","8,054,191","6,864,149","1,824,821","5,669,266","573,210","3,588,641"
"    Imputed","553,986","63,069","813,022","267,718","3,841,764","611,732","386,944","110,455","85,972","2,372,562","997,042","161,970","174,334","1,269,414","646,095","314,174","275,268","466,698","408,937","126,144","745,107","797,284","1,067,741","550,526","267,456","635,556","109,031","187,141","270,024","124,947","917,233","188,750","2,219,444","1,007,627","74,229","1,120,291","396,616","407,172","1,411,777","104,081","553,648","82,065","648,892","2,393,864","253,982","57,489","909,391","738,522","149,989","568,090","59,013","193,703"
"    Not imputed","4,201,395","649,179","5,708,204","2,639,296","33,989,789","4,561,540","3,154,465","801,047","549,861","16,872,565","8,803,845","1,183,198","1,417,838","11,435,202","5,825,456","2,731,110","2,561,465","3,845,402","4,113,973","1,188,047","5,088,932","5,816,370","8,716,710","4,812,155","2,657,755","5,295,121","890,359","1,653,518","2,487,183","1,183,711","7,874,419","1,863,150","17,180,625","8,637,693","633,952","10,278,007","3,373,638","3,485,920","11,157,598","931,965","4,124,474","744,974","5,745,752","23,582,698","2,620,231","563,407","7,144,800","6,125,627","1,674,832","5,101,176","514,197","3,394,938"
