"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,735,953","704,405","6,453,706","2,893,883","37,551,064","5,105,164","3,535,851","902,268","623,129","19,049,447","9,712,380","1,340,207","1,579,140","12,690,056","6,442,787","3,033,245","2,824,176","4,296,790","4,497,703","1,314,350","5,793,471","6,578,631","9,777,157","5,325,251","2,916,635","5,914,681","991,001","1,827,507","2,726,356","1,306,315","8,766,669","2,046,051","19,342,657","9,551,760","690,161","11,386,433","3,737,426","3,861,453","12,553,967","1,037,156","4,628,136","816,989","6,350,480","25,613,334","2,831,323","620,279","7,972,925","6,792,627","1,824,283","5,649,703","565,737","3,612,464"
"    Imputed","478,768","51,557","737,814","242,633","3,266,175","505,065","322,123","91,672","73,173","2,169,567","876,729","140,404","147,566","1,110,066","583,792","285,197","242,719","397,545","369,120","108,473","597,842","668,278","947,652","481,576","233,885","552,337","92,212","160,601","229,346","109,632","797,397","179,609","1,902,379","862,427","61,107","1,003,968","350,883","360,796","1,259,735","94,552","477,413","69,709","575,966","2,044,775","221,835","49,889","781,385","618,966","145,338","490,581","49,967","159,978"
"    Not imputed","4,257,185","652,848","5,715,892","2,651,250","34,284,889","4,600,099","3,213,728","810,596","549,956","16,879,880","8,835,651","1,199,803","1,431,574","11,579,990","5,858,995","2,748,048","2,581,457","3,899,245","4,128,583","1,205,877","5,195,629","5,910,353","8,829,505","4,843,675","2,682,750","5,362,344","898,789","1,666,906","2,497,010","1,196,683","7,969,272","1,866,442","17,440,278","8,689,333","629,054","10,382,465","3,386,543","3,500,657","11,294,232","942,604","4,150,723","747,280","5,774,514","23,568,559","2,609,488","570,390","7,191,540","6,173,661","1,678,945","5,159,122","515,770","3,452,486"
