"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,781,070","713,082","6,719,354","2,924,307","38,649,621","5,367,335","3,537,983","931,203","660,682","19,960,169","10,024,056","1,375,062","1,632,247","12,679,860","6,520,267","3,080,411","2,850,159","4,342,711","4,567,431","1,314,849","5,908,522","6,718,090","9,810,800","5,431,894","2,927,568","5,969,392","1,017,458","1,866,488","2,855,974","1,314,249","8,850,415","2,050,178","19,556,452","9,855,612","740,547","11,442,029","3,830,329","3,991,133","12,599,417","1,041,268","4,801,301","841,363","6,496,300","26,990,435","2,971,003","620,107","8,162,517","7,066,812","1,815,505","5,698,995","576,557","3,447,794"
"    Imputed","594,137","79,652","1,014,020","312,841","4,540,658","709,113","388,020","134,702","86,382","2,715,952","1,092,167","180,366","182,591","1,382,399","739,982","379,636","320,045","510,286","466,936","132,832","755,140","860,447","1,132,374","617,620","293,428","693,948","122,220","213,915","315,168","146,265","989,886","208,650","2,490,168","1,124,115","93,161","1,174,717","510,291","479,805","1,545,586","118,427","587,878","84,126","731,601","2,751,986","308,459","68,092","1,119,767","836,618","175,526","611,773","69,597","186,043"
"    Not imputed","4,186,933","633,430","5,705,334","2,611,466","34,108,963","4,658,222","3,149,963","796,501","574,300","17,244,217","8,931,889","1,194,696","1,449,656","11,297,461","5,780,285","2,700,775","2,530,114","3,832,425","4,100,495","1,182,017","5,153,382","5,857,643","8,678,426","4,814,274","2,634,140","5,275,444","895,238","1,652,573","2,540,806","1,167,984","7,860,529","1,841,528","17,066,284","8,731,497","647,386","10,267,312","3,320,038","3,511,328","11,053,831","922,841","4,213,423","757,237","5,764,699","24,238,449","2,662,544","552,015","7,042,750","6,230,194","1,639,979","5,087,222","506,960","3,261,751"
