"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,749,786","709,358","6,533,509","2,905,193","37,912,312","5,187,214","3,538,599","911,788","636,610","19,335,250","9,812,517","1,352,350","1,595,824","12,694,224","6,468,964","3,049,107","2,833,872","4,312,238","4,522,122","1,314,824","5,836,734","6,627,768","9,789,145","5,360,861","2,921,189","5,932,449","999,213","1,840,934","2,763,700","1,309,057","8,796,604","2,049,702","19,427,310","9,649,606","706,307","11,402,897","3,768,424","3,900,771","12,575,088","1,037,930","4,679,496","825,506","6,397,431","26,062,431","2,876,833","620,457","8,043,013","6,878,854","1,822,400","5,668,363","570,198","3,556,599"
"    Imputed","509,794","59,652","808,186","263,321","3,650,666","568,148","345,560","104,768","78,804","2,337,752","940,590","150,472","158,344","1,198,041","629,539","310,909","263,375","434,415","396,647","116,006","653,743","728,775","1,005,979","523,043","253,126","598,426","101,565","176,014","258,642","119,460","867,282","189,627","2,081,426","939,580","71,603","1,065,131","394,836","398,103","1,351,916","101,320","509,030","74,827","624,624","2,265,466","247,650","55,697","875,304","687,272","155,014","527,271","55,841","168,639"
"    Not imputed","4,239,992","649,706","5,725,323","2,641,872","34,261,646","4,619,066","3,193,039","807,020","557,806","16,997,498","8,871,927","1,201,878","1,437,480","11,496,183","5,839,425","2,738,198","2,570,497","3,877,823","4,125,475","1,198,818","5,182,991","5,898,993","8,783,166","4,837,818","2,668,063","5,334,023","897,648","1,664,920","2,505,058","1,189,597","7,929,322","1,860,075","17,345,884","8,710,026","634,704","10,337,766","3,373,588","3,502,668","11,223,172","936,610","4,170,466","750,679","5,772,807","23,796,965","2,629,183","564,760","7,167,709","6,191,582","1,667,386","5,141,092","514,357","3,387,960"
