"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,716,915","696,885","6,373,367","2,879,435","37,130,876","5,025,295","3,526,628","893,326","608,630","18,778,532","9,610,713","1,323,796","1,562,894","12,668,117","6,414,808","3,016,863","2,808,883","4,273,751","4,463,986","1,313,789","5,737,052","6,524,851","9,773,019","5,288,893","2,908,862","5,892,726","982,993","1,812,953","2,694,751","1,304,372","8,723,211","2,035,611","19,231,242","9,450,222","674,657","11,374,029","3,702,515","3,829,588","12,525,314","1,035,516","4,578,525","807,439","6,300,636","25,158,370","2,786,143","619,732","7,881,300","6,711,488","1,824,020","5,630,579","560,397","3,656,732"
"    Imputed","446,123","44,828","647,525","224,781","2,889,414","440,488","299,051","80,798","64,908","1,991,188","799,456","129,354","133,498","1,015,298","541,290","258,795","218,465","353,601","337,829","98,966","529,676","608,242","887,834","437,003","218,715","506,972","86,458","145,107","200,152","100,170","725,736","165,703","1,725,770","780,667","53,041","934,895","315,316","331,017","1,170,789","87,610","440,041","64,156","520,191","1,807,228","198,522","45,040","706,476","554,035","135,759","452,575","45,358","150,670"
"    Not imputed","4,270,792","652,057","5,725,842","2,654,654","34,241,462","4,584,807","3,227,577","812,528","543,722","16,787,344","8,811,257","1,194,442","1,429,396","11,652,819","5,873,518","2,758,068","2,590,418","3,920,150","4,126,157","1,214,823","5,207,376","5,916,609","8,885,185","4,851,890","2,690,147","5,385,754","896,535","1,667,846","2,494,599","1,204,202","7,997,475","1,869,908","17,505,472","8,669,555","621,616","10,439,134","3,387,199","3,498,571","11,354,525","947,906","4,138,484","743,283","5,780,445","23,351,142","2,587,621","574,692","7,174,824","6,157,453","1,688,261","5,178,004","515,039","3,506,062"
