"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,785,040","714,106","6,838,270","2,937,135","38,653,948","5,439,267","3,530,088","934,743","674,258","20,288,268","10,109,427","1,370,508","1,666,375","12,643,207","6,538,540","3,088,842","2,849,329","4,357,195","4,559,274","1,317,634","5,907,173","6,756,015","9,847,464","5,469,389","2,922,647","5,976,738","1,026,586","1,875,468","2,887,475","1,326,243","8,776,839","2,057,526","19,378,618","9,952,031","736,241","11,468,700","3,837,568","4,042,073","12,587,979","1,040,879","4,858,485","846,821","6,547,663","27,417,645","3,019,579","618,896","8,197,642","7,187,395","1,800,270","5,706,206","571,923","3,361,571"
"    Allocated","599,223","82,628","1,047,107","329,848","4,916,340","751,377","426,370","171,213","91,588","2,912,787","1,156,803","187,162","195,858","1,448,512","779,189","367,121","332,243","522,314","490,125","140,167","797,482","912,255","1,166,709","653,145","297,287","691,517","129,625","240,696","339,618","151,570","1,052,275","222,850","2,619,786","1,223,181","89,678","1,257,258","518,523","495,301","1,653,487","133,595","616,693","93,024","776,073","3,001,427","317,201","67,450","1,097,880","879,030","177,543","632,166","64,204","182,782"
"    Not allocated","4,185,817","631,478","5,791,163","2,607,287","33,737,608","4,687,890","3,103,718","763,530","582,670","17,375,481","8,952,624","1,183,346","1,470,517","11,194,695","5,759,351","2,721,721","2,517,086","3,834,881","4,069,149","1,177,467","5,109,691","5,843,760","8,680,755","4,816,244","2,625,360","5,285,221","896,961","1,634,772","2,547,857","1,174,673","7,724,564","1,834,676","16,758,832","8,728,850","646,563","10,211,442","3,319,045","3,546,772","10,934,492","907,284","4,241,792","753,797","5,771,590","24,416,218","2,702,378","551,446","7,099,762","6,308,365","1,622,727","5,074,040","507,719","3,178,789"
