"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,767,383","711,541","6,623,074","2,914,376","38,297,457","5,266,022","3,541,282","920,930","647,966","19,583,357","9,906,878","1,367,770","1,612,889","12,702,393","6,498,029","3,062,900","2,845,414","4,328,524","4,547,572","1,315,996","5,885,847","6,668,348","9,798,621","5,398,211","2,927,088","5,950,606","1,008,116","1,853,684","2,805,532","1,311,921","8,830,969","2,050,369","19,499,548","9,752,148","724,451","11,420,809","3,797,966","3,931,306","12,582,815","1,039,789","4,733,742","835,403","6,448,737","26,485,838","2,916,303","620,453","8,114,884","6,954,806","1,820,836","5,684,725","574,798","3,521,353"
"    Imputed","538,119","67,292","940,889","286,272","4,212,735","657,502","379,683","120,950","80,245","2,550,188","1,023,361","156,104","181,575","1,298,093","675,772","352,587","310,642","506,080","437,879","126,413","763,410","811,035","1,069,952","593,394","274,813","649,261","112,640","204,323","304,631","130,053","948,450","207,404","2,293,264","1,041,843","88,150","1,158,171","454,452","439,448","1,466,162","114,275","546,710","83,858","694,385","2,600,061","281,068","62,579","985,364","768,345","168,369","579,808","62,562","188,125"
"    Not imputed","4,229,264","644,249","5,682,185","2,628,104","34,084,722","4,608,520","3,161,599","799,980","567,721","17,033,169","8,883,517","1,211,666","1,431,314","11,404,300","5,822,257","2,710,313","2,534,772","3,822,444","4,109,693","1,189,583","5,122,437","5,857,313","8,728,669","4,804,817","2,652,275","5,301,345","895,476","1,649,361","2,500,901","1,181,868","7,882,519","1,842,965","17,206,284","8,710,305","636,301","10,262,638","3,343,514","3,491,858","11,116,653","925,514","4,187,032","751,545","5,754,352","23,885,777","2,635,235","557,874","7,129,520","6,186,461","1,652,467","5,104,917","512,236","3,333,228"
