"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,770,692","714,038","6,701,990","2,924,569","38,488,069","5,344,703","3,541,763","929,139","661,858","19,967,931","10,012,994","1,369,366","1,636,345","12,674,162","6,515,358","3,074,216","2,843,739","4,340,343","4,559,572","1,315,654","5,901,303","6,713,702","9,814,714","5,432,792","2,921,628","5,961,514","1,014,596","1,865,028","2,852,693","1,314,875","8,854,377","2,050,101","19,556,260","9,845,238","729,279","11,436,638","3,816,369","3,985,781","12,586,845","1,040,523","4,795,304","838,027","6,494,451","26,943,687","2,967,868","618,703","8,153,221","7,063,032","1,807,983","5,691,138","573,470","3,442,193"
"    Allocated","588,944","78,070","980,305","311,084","4,601,286","692,283","412,063","119,619","89,813","2,740,568","1,106,895","177,290","184,952","1,383,593","732,312","354,976","315,748","506,174","468,794","133,062","777,978","874,228","1,129,512","623,892","289,833","672,155","122,774","215,778","319,523","141,694","1,011,988","212,344","2,507,491","1,145,820","85,237","1,216,352","482,253","467,824","1,552,143","123,707","590,131","86,292","731,281","2,797,059","297,459","64,655","1,056,149","826,804","168,654","607,368","63,751","190,523"
"    Not allocated","4,181,748","635,968","5,721,685","2,613,485","33,886,783","4,652,420","3,129,700","809,520","572,045","17,227,363","8,906,099","1,192,076","1,451,393","11,290,569","5,783,046","2,719,240","2,527,991","3,834,169","4,090,778","1,182,592","5,123,325","5,839,474","8,685,202","4,808,900","2,631,795","5,289,359","891,822","1,649,250","2,533,170","1,173,181","7,842,389","1,837,757","17,048,769","8,699,418","644,042","10,220,286","3,334,116","3,517,957","11,034,702","916,816","4,205,173","751,735","5,763,170","24,146,628","2,670,409","554,048","7,097,072","6,236,228","1,639,329","5,083,770","509,719","3,251,670"
