"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,741,698","708,946","6,443,654","2,896,297","37,524,274","5,094,766","3,534,619","902,915","621,380","19,011,070","9,719,411","1,341,708","1,575,682","12,698,371","6,437,142","3,028,864","2,825,416","4,292,718","4,498,884","1,315,703","5,788,196","6,566,851","9,772,550","5,319,783","2,918,405","5,908,769","989,823","1,826,832","2,723,965","1,306,026","8,756,542","2,051,805","19,316,728","9,552,529","684,776","11,371,766","3,733,058","3,860,452","12,559,315","1,034,895","4,623,171","816,425","6,354,629","25,584,499","2,829,001","619,928","7,973,466","6,793,078","1,826,512","5,652,085","567,082","3,641,762"
"    Imputed","465,074","46,059","654,755","221,568","2,813,801","482,039","297,505","78,197","79,907","2,050,003","802,205","137,777","132,823","997,269","555,285","263,295","209,219","348,293","330,103","103,220","515,428","592,713","881,574","438,462","219,269","523,402","87,623","144,698","192,958","102,978","744,828","174,911","1,713,355","792,699","60,722","921,851","316,349","346,365","1,194,466","86,775","444,539","66,964","538,831","1,775,614","191,349","45,554","696,332","578,085","136,652","440,932","54,689","150,443"
"    Not imputed","4,276,624","662,887","5,788,899","2,674,729","34,710,473","4,612,727","3,237,114","824,718","541,473","16,961,067","8,917,206","1,203,931","1,442,859","11,701,102","5,881,857","2,765,569","2,616,197","3,944,425","4,168,781","1,212,483","5,272,768","5,974,138","8,890,976","4,881,321","2,699,136","5,385,367","902,200","1,682,134","2,531,007","1,203,048","8,011,714","1,876,894","17,603,373","8,759,830","624,054","10,449,915","3,416,709","3,514,087","11,364,849","948,120","4,178,632","749,461","5,815,798","23,808,885","2,637,652","574,374","7,277,134","6,214,993","1,689,860","5,211,153","512,393","3,491,319"
