"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,720,067","699,272","6,378,280","2,885,212","37,161,789","5,024,885","3,522,709","892,132","608,165","18,752,294","9,619,740","1,326,065","1,565,645","12,688,006","6,417,644","3,017,465","2,813,530","4,284,357","4,473,068","1,314,121","5,736,588","6,507,596","9,762,306","5,286,728","2,911,811","5,898,968","983,214","1,814,388","2,686,989","1,303,868","8,712,982","2,047,242","19,208,419","9,461,018","669,425","11,369,102","3,710,368","3,832,640","12,539,757","1,035,117","4,579,231","805,505","6,302,351","25,197,453","2,789,648","620,159","7,887,164","6,716,822","1,826,485","5,634,063","558,832","3,680,339"
"    Imputed","407,330","38,906","602,583","215,656","2,636,681","399,773","268,681","75,113","59,068","1,904,260","736,464","122,116","120,359","994,797","521,235","249,606","206,008","336,052","320,695","92,302","487,003","560,548","857,663","421,382","204,967","481,858","78,866","126,396","186,842","94,294","683,490","166,580","1,625,685","725,619","47,249","907,678","284,954","318,445","1,123,324","84,236","398,548","57,657","489,472","1,657,165","191,882","42,981","662,371","484,718","137,108","434,391","36,821","127,938"
"    Not imputed","4,312,737","660,366","5,775,697","2,669,556","34,525,108","4,625,112","3,254,028","817,019","549,097","16,848,034","8,883,276","1,203,949","1,445,286","11,693,209","5,896,409","2,767,859","2,607,522","3,948,305","4,152,373","1,221,819","5,249,585","5,947,048","8,904,643","4,865,346","2,706,844","5,417,110","904,348","1,687,992","2,500,147","1,209,574","8,029,492","1,880,662","17,582,734","8,735,399","622,176","10,461,424","3,425,414","3,514,195","11,416,433","950,881","4,180,683","747,848","5,812,879","23,540,288","2,597,766","577,178","7,224,793","6,232,104","1,689,377","5,199,672","522,011","3,552,401"
