"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"Total:","4,988,625","701,511","7,251,924","2,991,199","38,548,670","5,742,363","3,582,236","1,005,551","661,425","21,904,247","10,718,050","1,383,700","1,911,951","12,413,406","6,737,570","3,153,337","2,876,222","4,428,274","4,494,008","1,368,026","6,073,039","6,919,123","9,929,781","5,657,569","2,872,112","6,071,333","1,104,997","1,939,912","3,139,304","1,379,160","9,168,124","2,074,351","19,475,046","10,480,843","762,522","11,587,715","3,930,259","4,199,471","12,789,843","1,076,902","5,185,489","888,485","6,951,491","29,539,484","3,353,888","640,316","8,446,378","7,667,041","1,741,322","5,831,451","570,764","3,194,807"
"    Allocated","874,580","128,891","1,462,478","510,241","7,080,901","1,033,492","647,206","184,524","105,126","4,173,818","2,034,772","295,035","324,230","2,213,039","1,153,267","476,413","517,535","715,762","736,476","210,353","1,117,187","1,338,434","1,721,345","949,262","478,281","1,008,465","183,414","319,235","564,620","242,429","1,762,415","343,789","4,024,856","1,814,645","133,648","1,851,395","734,263","698,711","2,352,763","192,537","965,685","145,721","1,137,766","5,194,165","534,005","99,363","1,631,103","1,317,445","287,101","890,099","81,214","164,214"
"    Not allocated","4,114,045","572,620","5,789,446","2,480,958","31,467,769","4,708,871","2,935,030","821,027","556,299","17,730,429","8,683,278","1,088,665","1,587,721","10,200,367","5,584,303","2,676,924","2,358,687","3,712,512","3,757,532","1,157,673","4,955,852","5,580,689","8,208,436","4,708,307","2,393,831","5,062,868","921,583","1,620,677","2,574,684","1,136,731","7,405,709","1,730,562","15,450,190","8,666,198","628,874","9,736,320","3,195,996","3,500,760","10,437,080","884,365","4,219,804","742,764","5,813,725","24,345,319","2,819,883","540,953","6,815,275","6,349,596","1,454,221","4,941,352","489,550","3,030,593"
